"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.68740980793947e-266,0.587179779680313,0.634,0.469,5.74299475956664e-263,"0","APOBR"
2.40666619936448e-139,0.486991937246123,0.589,0.761,5.1430456680419e-136,"0","IL1B"
5.86817595603309e-135,0.59838630796397,0.48,0.472,1.25402920180427e-131,"0","GLB1"
6.17529836362354e-125,0.522840048994853,0.532,0.5,1.31966126030635e-121,"0","SCARB2"
1.20284267402184e-122,0.725728110053742,0.485,0.457,2.57047479438468e-119,"0","IDH1"
4.20983502308473e-116,0.902768152634707,0.59,0.608,8.99641744433206e-113,"0","FES"
1.51869672663186e-96,0.377843036110961,0.468,0.476,3.24545490481229e-93,"0","ACTN1"
4.41049488055595e-95,0.449010390175217,0.525,0.513,9.42522755974807e-92,"0","METTL7A"
1.42417290633708e-93,0.760231097669365,0.466,0.454,3.04345750084234e-90,"0","RNASE6"
1.3885610679707e-92,0.517497381103208,0.546,0.495,2.96735500225339e-89,"0","CAT"
2.81974574556111e-88,0.262332893634602,0.656,0.546,6.02579665826409e-85,"0","TMEM2"
3.05976955079083e-86,0.429552832164218,0.625,0.644,6.53872753004e-83,"0","TCIRG1"
6.09770215633047e-86,0.298670793014376,0.67,0.529,1.30307895080782e-82,"0","LAIR1"
1.92262180735049e-76,0.270593960169957,0.526,0.514,4.10864280230799e-73,"0","CUL1"
2.38920943306912e-74,0.576205375618582,0.431,0.46,5.10574055846871e-71,"0","HIP1"
1.86953168765305e-72,0.503224344393068,0.35,0.434,3.99518921651457e-69,"0","RETN"
5.06045756546177e-71,0.519060687337999,0.412,0.452,1.08141978173918e-67,"0","FADS1"
1.12595559304028e-69,0.25940634173319,0.597,0.765,2.40616710232707e-66,"0","NEXN"
7.23765461138741e-65,0.268575562681987,0.54,0.538,1.54668679045349e-61,"0","PSMB6"
2.7617101358712e-60,0.331232997437367,0.797,0.761,5.90177456035675e-57,"0","APBB1IP"
3.12985529954608e-59,0.430686504563512,0.557,0.622,6.68850077512998e-56,"0","B4GALT5"
1.88420436034465e-55,0.39690644082999,0.752,0.642,4.02654471805652e-52,"0","DNAJC13"
3.18340279166209e-52,0.283339386480399,0.628,0.663,6.80293176578188e-49,"0","SH3GLB1"
2.37122120591849e-49,0.341122446015838,0.408,0.477,5.06729971704782e-46,"0","GYG1"
2.81671533751114e-49,0.6791512276633,0.538,0.607,6.0193206762613e-46,"0","SPECC1"
5.64883429637638e-48,0.292593253752066,0.418,0.476,1.20715588913563e-44,"0","TACC3"
6.08435592765005e-47,0.307708610071305,0.692,0.689,1.30022686173882e-43,"0","BAZ1A"
1.07657151503054e-45,0.715683988599292,0.534,0.602,2.30063332762027e-42,"0","SLC16A3"
2.36450282879494e-44,0.295087409441775,0.415,0.476,5.05294254513479e-41,"0","ADIPOR1"
4.63165335684233e-44,0.300049918487303,0.662,0.611,9.89784322357206e-41,"0","VPS35"
5.87742729579952e-44,0.523840621245529,0.405,0.454,1.25600621311236e-40,"0","TLR7"
9.2778181357799e-42,0.324382806861142,0.637,0.667,1.98266973561617e-38,"0","HDGF"
1.96172693513506e-41,0.265228837510306,0.626,0.665,4.19221046038361e-38,"0","DNAJA1"
