"singler","cluster","count"
"B_cell","0",4
"HSC_-G-CSF","0",14
"Macrophage","0",1
"Monocyte","0",2957
"Neutrophils","0",1
"NK_cell","0",136
"Pre-B_cell_CD34-","0",4
"T_cells","0",16
"B_cell","1",9
"Endothelial_cells","1",1
"HSC_-G-CSF","1",9
"Monocyte","1",169
"NK_cell","1",217
"Pre-B_cell_CD34-","1",6
"Pro-B_cell_CD34+","1",1
"T_cells","1",2229
"B_cell","2",3
"Chondrocytes","2",1
"DC","2",1
"Monocyte","2",111
"NK_cell","2",2239
"T_cells","2",209
"B_cell","3",20
"BM & Prog.","3",1
"CMP","3",1
"DC","3",1
"HSC_-G-CSF","3",58
"Monocyte","3",609
"Myelocyte","3",1
"Neutrophils","3",9
"NK_cell","3",571
"Pre-B_cell_CD34-","3",38
"Pro-B_cell_CD34+","3",1
"T_cells","3",674
"B_cell","4",2
"CMP","4",1
"Endothelial_cells","4",1
"HSC_-G-CSF","4",6
"Monocyte","4",10
"NK_cell","4",623
"Platelets","4",1
"Pre-B_cell_CD34-","4",1
"T_cells","4",1283
"B_cell","5",164
"BM & Prog.","5",5
"Chondrocytes","5",1
"CMP","5",4
"Epithelial_cells","5",3
"Erythroblast","5",1
"GMP","5",9
"HSC_-G-CSF","5",17
"Macrophage","5",1
"MEP","5",2
"Monocyte","5",758
"MSC","5",1
"Myelocyte","5",1
"Neurons","5",2
"NK_cell","5",265
"Platelets","5",1
"Pre-B_cell_CD34-","5",140
"Pro-B_cell_CD34+","5",20
"Pro-Myelocyte","5",1
"Smooth_muscle_cells","5",2
"T_cells","5",469
"B_cell","6",2
"HSC_-G-CSF","6",6
"Monocyte","6",82
"Neutrophils","6",1
"NK_cell","6",1190
"T_cells","6",237
"B_cell","7",3
"DC","7",2
"HSC_-G-CSF","7",2
"Macrophage","7",9
"Monocyte","7",1087
"NK_cell","7",27
"Pre-B_cell_CD34-","7",1
"T_cells","7",8
"B_cell","8",859
"Monocyte","8",66
"Neutrophils","8",2
"NK_cell","8",111
"T_cells","8",39
"B_cell","9",38
"CMP","9",1
"Erythroblast","9",4
"HSC_-G-CSF","9",13
"Monocyte","9",974
"Myelocyte","9",1
"Neutrophils","9",7
"NK_cell","9",9
"Pre-B_cell_CD34-","9",2
"T_cells","9",21
"Tissue_stem_cells","9",1
"B_cell","10",17
"CMP","10",5
"Erythroblast","10",1
"GMP","10",1
"HSC_-G-CSF","10",3
"MEP","10",1
"Monocyte","10",329
"Neutrophils","10",12
"NK_cell","10",156
"T_cells","10",521
"B_cell","11",720
"Embryonic_stem_cells","11",1
"Epithelial_cells","11",3
"Fibroblasts","11",1
"GMP","11",1
"HSC_-G-CSF","11",1
"Monocyte","11",83
"MSC","11",3
"Neurons","11",2
"Neutrophils","11",1
"NK_cell","11",49
"Pre-B_cell_CD34-","11",6
"Pro-B_cell_CD34+","11",2
"T_cells","11",75
"B_cell","12",4
"HSC_-G-CSF","12",6
"Monocyte","12",879
"Neutrophils","12",6
"NK_cell","12",18
"Pre-B_cell_CD34-","12",4
"Pro-B_cell_CD34+","12",2
"T_cells","12",12
"B_cell","13",6
"Monocyte","13",3
"NK_cell","13",32
"T_cells","13",876
"B_cell","14",480
"BM & Prog.","14",6
"CMP","14",1
"Erythroblast","14",3
"GMP","14",4
"HSC_-G-CSF","14",3
"HSC_CD34+","14",1
"MEP","14",1
"Monocyte","14",41
"Neuroepithelial_cell","14",1
"Neurons","14",1
"NK_cell","14",120
"Pro-B_cell_CD34+","14",3
"Pro-Myelocyte","14",1
"T_cells","14",102
"B_cell","15",640
"CMP","15",1
"Monocyte","15",11
"Neutrophils","15",6
"NK_cell","15",22
"Platelets","15",1
"Pre-B_cell_CD34-","15",2
"T_cells","15",29
"B_cell","16",4
"Monocyte","16",3
"T_cells","16",355
"B_cell","17",5
"HSC_-G-CSF","17",1
"Monocyte","17",166
"Neutrophils","17",3
"NK_cell","17",11
"Platelets","17",67
"T_cells","17",17
"B_cell","18",1
"DC","18",8
"GMP","18",2
"Monocyte","18",221
"NK_cell","18",4
"T_cells","18",4
"HSC_-G-CSF","19",16
"Monocyte","19",4
"Myelocyte","19",95
"Pre-B_cell_CD34-","19",4
"Pro-Myelocyte","19",30
"T_cells","19",1
"HSC_-G-CSF","20",13
"Monocyte","20",43
"Neutrophils","20",59
"NK_cell","20",8
"T_cells","20",6
"B_cell","21",69
"DC","21",3
"GMP","21",12
"Monocyte","21",25
"NK_cell","21",15
"T_cells","21",5
"B_cell","22",2
"CMP","22",67
"Erythroblast","22",1
"GMP","22",4
"HSC_CD34+","22",1
"MEP","22",21
"Monocyte","22",5
"NK_cell","22",11
"Pro-B_cell_CD34+","22",4
"T_cells","22",6
"B_cell","23",99
"Monocyte","23",1
"NK_cell","23",4
"B_cell","24",3
"BM","24",2
"Erythroblast","24",7
"HSC_-G-CSF","24",3
"Monocyte","24",29
"NK_cell","24",9
"T_cells","24",9
