"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.23379613870231,0.967,0.207,0,"0","GNLY"
0,3.1007737895574,0.708,0.08,0,"0","SPON2"
0,3.04060540034112,0.95,0.215,0,"0","PRF1"
0,2.88941206169215,0.821,0.142,0,"0","FGFBP2"
0,2.70243892920289,0.86,0.167,0,"0","GZMB"
0,2.60108654953916,0.833,0.203,0,"0","CD247"
0,2.54148817568305,0.673,0.119,0,"0","IL2RB"
0,2.41349741733075,0.543,0.074,0,"0","S1PR5"
0,2.2607563662536,0.925,0.404,0,"0","SYNE1"
0,2.24898978237044,0.793,0.248,0,"0","RUNX3"
0,2.20989432941292,0.646,0.137,0,"0","NKG7"
0,2.2058925857834,0.895,0.355,0,"0","ARL4C"
0,2.20089663412884,0.689,0.166,0,"0","GZMH"
0,2.19506817405326,0.773,0.241,0,"0","CCL5"
0,2.19217465748495,0.56,0.1,0,"0","GPR56"
0,2.18058512950714,0.385,0.038,0,"0","KLRF1"
0,2.17413147722875,0.895,0.234,0,"0","FCGR3A"
0,2.13879236752338,0.392,0.059,0,"0","NCAM1"
0,2.12167214114345,0.554,0.113,0,"0","CTSW"
0,2.1120147015074,0.308,0.024,0,"0","SH2D1B"
0,2.06679165792539,0.698,0.169,0,"0","GZMA"
0,2.05109259499006,0.382,0.062,0,"0","TTC38"
0,2.03262347087438,0.52,0.097,0,"0","KLRD1"
0,2.029769763639,0.398,0.057,0,"0","MATK"
0,2.0183927185381,0.414,0.068,0,"0","HOPX"
0,2.00770404368042,0.49,0.101,0,"0","MYBL1"
0,1.98117626610529,0.516,0.114,0,"0","CST7"
0,1.96306865772162,0.929,0.426,0,"0","SYNE2"
0,1.93466410878713,0.368,0.064,0,"0","KLRB1"
0,1.92572775506637,0.325,0.048,0,"0","PRSS23"
0,1.91146057409068,0.608,0.238,0,"0","GNPTAB"
0,1.86734892125717,0.412,0.079,0,"0","TBX21"
0,1.85023375020144,0.469,0.109,0,"0","TGFBR3"
0,1.81701594657167,0.525,0.228,0,"0","HIPK2"
0,1.79820106494846,0.357,0.065,0,"0","FCRL6"
0,1.78322951761174,0.508,0.184,0,"0","APMAP"
0,1.76251576364375,0.68,0.352,0,"0","IGF2R"
0,1.74390536860759,0.493,0.178,0,"0","DIP2A"
0,1.69106345287717,0.335,0.082,0,"0","SYTL3"
0,1.63202338318562,0.344,0.094,0,"0","CEP78"
0,1.63115117061096,0.858,0.577,0,"0","JAK1"
0,1.62452247105598,0.487,0.149,0,"0","ZAP70"
0,1.62295595258305,0.297,0.048,0,"0","TRDC"
0,1.56312156892936,0.488,0.159,0,"0","PRKCH"
0,1.55631452468484,0.456,0.169,0,"0","GNG2"
0,1.55096941839305,0.684,0.35,0,"0","PIP4K2A"
0,1.51111804512646,0.403,0.131,0,"0","NFATC2"
0,1.50895759843836,0.776,0.463,0,"0","ITGAL"
0,1.49799252778256,0.543,0.25,0,"0","ATP2B4"
0,1.49774081948506,0.464,0.123,0,"0","FCGR3B"
0,1.49723614127988,0.619,0.312,0,"0","LITAF"
0,1.47319509032373,0.893,0.631,0,"0","MACF1"
0,1.46401190529724,0.531,0.271,0,"0","PTPN12"
0,1.45331860920503,0.461,0.204,0,"0","LPCAT1"
0,1.45323362789621,0.686,0.363,0,"0","SPN"
0,1.45057506610009,0.531,0.206,0,"0","CX3CR1"
0,1.44975782022776,0.616,0.323,0,"0","FYN"
0,1.4445307946605,0.548,0.26,0,"0","MBP"
0,1.44425579945319,0.34,0.093,0,"0","SAMD3"
0,1.4032204318161,0.765,0.457,0,"0","EFHD2"
0,1.37070217844039,0.745,0.47,0,"0","UTRN"
0,1.34764064019161,0.608,0.345,0,"0","AKNA"
0,1.33350712796087,0.648,0.366,0,"0","BTN3A2"
0,1.32914390938165,0.599,0.337,0,"0","PPP2R5C"
0,1.26285037173857,0.692,0.362,0,"0","PTPRCAP"
0,1.24976496804808,0.876,0.48,0,"0","ETS1"
0,1.07132633970425,0.883,0.716,0,"0","CALM1"
0,1.0215387877209,0.848,0.687,0,"0","MT-ND6"
0,1.01091253394011,0.833,0.649,0,"0","FLNA"
0,0.999878147658119,0.996,0.959,0,"0","HLA-E"
0,0.961997573354857,0.995,0.964,0,"0","MT-CO1"
0,0.929899872439539,0.926,0.789,0,"0","RNF213"
0,0.906085250042762,1,0.992,0,"0","HLA-B"
0,0.850072673220755,0.97,0.887,0,"0","PTPRC"
0,0.849398756474129,0.977,0.918,0,"0","HLA-C"
0,0.815845835849455,1,0.993,0,"0","B2M"
0,0.812373119370649,0.93,0.843,0,"0","MT-ND5"
0,0.810750126360067,0.992,0.949,0,"0","HLA-A"
0,0.789495852209301,0.977,0.912,0,"0","MT-CO2"
0,0.748075908406988,0.999,0.994,0,"0","MALAT1"
0,0.741134703013507,0.985,0.92,0,"0","MT-ATP6"
0,0.665707129018828,0.99,0.944,0,"0","MT-ND4"
1.03120409928061e-307,1.43717860905931,0.437,0.182,2.20368316016267e-304,"0","RARRES3"
6.0093749519694e-306,1.38911774733849,0.339,0.109,1.28420342723586e-302,"0","PTPN4"
1.66449611010767e-302,0.685917089161311,0.965,0.87,3.55702818730009e-299,"0","TXNIP"
1.28322712943984e-301,1.34870233253569,0.478,0.22,2.74225637561293e-298,"0","SLC9A3R1"
5.1049387949817e-293,1.11097984762277,0.691,0.48,1.09092542048759e-289,"0","HLA-F"
2.94828961883213e-290,0.977588258223453,0.75,0.516,6.30049491544426e-287,"0","PLEK"
1.44866751152512e-288,0.876868072244923,0.844,0.698,3.09580247212918e-285,"0","MSN"
5.14609795169983e-287,0.73847721252393,0.898,0.823,1.09972113227825e-283,"0","DDX5"
8.48814538366891e-286,1.33639455142675,0.252,0.064,1.81391666849005e-282,"0","SYTL2"
