"singler","cluster","count"
"NK_cell","0",3356
"T_cells","0",25
"Monocyte","1",1
"NK_cell","1",2
"T_cells","1",2871
"HSC_-G-CSF","2",1
"Monocyte","2",2
"Neutrophils","2",1
"NK_cell","2",1259
"Pre-B_cell_CD34-","2",1
"T_cells","2",1295
"HSC_-G-CSF","3",37
"Monocyte","3",1874
"Neutrophils","3",8
"NK_cell","3",2
"Pre-B_cell_CD34-","3",1
"T_cells","3",6
"B_cell","4",1357
"BM & Prog.","4",10
"Chondrocytes","4",1
"CMP","4",1
"DC","4",1
"Embryonic_stem_cells","4",1
"Epithelial_cells","4",4
"Erythroblast","4",5
"Fibroblasts","4",1
"GMP","4",3
"HSC_-G-CSF","4",2
"MEP","4",2
"Monocyte","4",96
"MSC","4",4
"Neuroepithelial_cell","4",1
"Neurons","4",3
"Neutrophils","4",1
"NK_cell","4",73
"Pre-B_cell_CD34-","4",6
"Pro-B_cell_CD34+","4",12
"Pro-Myelocyte","4",1
"Smooth_muscle_cells","4",1
"T_cells","4",116
"Tissue_stem_cells","4",1
"B_cell","5",1494
"CMP","5",1
"Monocyte","5",3
"Neutrophils","5",1
"NK_cell","5",6
"Platelets","5",1
"T_cells","5",5
"HSC_-G-CSF","6",3
"Monocyte","6",1375
"Neutrophils","6",5
"B_cell","7",1
"NK_cell","7",1
"T_cells","7",1290
"DC","8",2
"HSC_-G-CSF","8",2
"Macrophage","8",9
"Monocyte","8",1257
"NK_cell","9",348
"T_cells","9",771
"B_cell","10",3
"HSC_-G-CSF","10",3
"Monocyte","10",833
"Neutrophils","10",2
"NK_cell","10",31
"T_cells","10",14
"HSC_-G-CSF","11",5
"Monocyte","11",785
"Myelocyte","11",1
"Neutrophils","11",11
"Pre-B_cell_CD34-","11",3
"B_cell","12",54
"BM & Prog.","12",1
"CMP","12",1
"Epithelial_cells","12",2
"GMP","12",10
"HSC_-G-CSF","12",16
"Macrophage","12",1
"MEP","12",1
"Monocyte","12",271
"Neurons","12",1
"NK_cell","12",41
"Pre-B_cell_CD34-","12",147
"Pro-B_cell_CD34+","12",16
"Pro-Myelocyte","12",1
"T_cells","12",186
"HSC_-G-CSF","13",2
"Macrophage","13",1
"Monocyte","13",733
"NK_cell","13",1
"Pre-B_cell_CD34-","13",2
"T_cells","13",2
"B_cell","14",10
"BM","14",3
"DC","14",1
"Erythroblast","14",11
"HSC_-G-CSF","14",77
"Monocyte","14",445
"Myelocyte","14",1
"Neutrophils","14",6
"NK_cell","14",31
"Platelets","14",1
"Pre-B_cell_CD34-","14",40
"T_cells","14",68
"Monocyte","15",627
"NK_cell","15",6
"Pre-B_cell_CD34-","15",2
"T_cells","15",1
"B_cell","16",32
"Chondrocytes","16",1
"Endothelial_cells","16",1
"Erythroblast","16",2
"MEP","16",1
"Monocyte","16",13
"Neurons","16",1
"Neutrophils","16",4
"NK_cell","16",23
"Platelets","16",1
"Pre-B_cell_CD34-","16",1
"Pro-B_cell_CD34+","16",1
"Smooth_muscle_cells","16",1
"T_cells","16",331
"B_cell","17",129
"NK_cell","17",151
"T_cells","17",74
"NK_cell","18",318
"T_cells","18",12
"B_cell","19",1
"DC","19",8
"GMP","19",2
"Monocyte","19",236
"NK_cell","19",4
"T_cells","19",4
"B_cell","20",3
"HSC_-G-CSF","20",1
"Monocyte","20",93
"Neutrophils","20",3
"NK_cell","20",20
"Platelets","20",68
"T_cells","20",42
"B_cell","21",3
"NK_cell","21",142
"T_cells","21",77
"HSC_-G-CSF","22",15
"Monocyte","22",3
"Myelocyte","22",96
"Pre-B_cell_CD34-","22",4
"Pro-Myelocyte","22",30
"B_cell","23",1
"BM & Prog.","23",1
"CMP","23",78
"Endothelial_cells","23",1
"Erythroblast","23",2
"GMP","23",6
"HSC_CD34+","23",2
"MEP","23",21
"Monocyte","23",1
"Neutrophils","23",1
"NK_cell","23",12
"Pro-B_cell_CD34+","23",4
"T_cells","23",6
"B_cell","24",72
"DC","24",3
"GMP","24",12
"Monocyte","24",15
"NK_cell","24",15
"Pre-B_cell_CD34-","24",1
"T_cells","24",4
"HSC_-G-CSF","25",7
"Neutrophils","25",85
"NK_cell","25",10
"T_cells","25",6
